user_name,age_type,gender,life_event,children,years_of_experience,characteristics,desired_income
anthony9277,>60,Male,Retirement,5,37,Responsibility and Carefulness;Communication skills;Loving and caring nature,30tr - 50tr
david1567,>60,Female,Retirement,2,5,Communication skills;Loving and caring nature,< 10tr
kelly3406,>60,Female,Losing a Job,4,7,Responsibility and Carefulness;Communication skills;Loving and caring nature,30tr - 50tr
cynthia8594,<25,Female,Losing a Job,1,31,Patience;Communication skills;Loving and caring nature,> 50tr
jennifer3210,>60,Female,Major Illness/Disability,5,25,Responsibility and Carefulness;Loving and caring nature;Communication skills,> 50tr
lisa7335,50-60,Male,Getting Married,3,31,Responsibility and Carefulness;Patience;Communication skills,> 50tr
william1452,25-30,Male,Starting a Career,3,44,Loving and caring nature;Patience,10tr - 30tr
carolyn8406,>60,Male,Major Illness/Disability,5,22,Communication skills;Responsibility and Carefulness;Patience,> 50tr
joseph2936,45-50,Female,Getting Married,2,46,Loving and caring nature;Responsibility and Carefulness;Patience,> 50tr
sheri7359,<25,Female,Major Illness/Disability,2,20,Communication skills;Loving and caring nature,30tr - 50tr
ryan8814,30-45,Female,Retirement,4,8,Patience;Loving and caring nature,10tr - 30tr
kelly5113,>60,Male,Losing a Job,3,47,Communication skills;Loving and caring nature,> 50tr
jeffrey5469,>60,Female,Major Illness/Disability,5,40,Loving and caring nature;Patience;Responsibility and Carefulness,> 50tr
morgan1304,<25,Female,Retirement,0,39,Patience;Communication skills,10tr - 30tr
nancy1702,>60,Male,Major Illness/Disability,3,28,Patience;Loving and caring nature,< 10tr
andrew5724,>60,Male,Getting Married,3,21,Patience;Loving and caring nature,> 50tr
todd7614,<25,Male,Major Illness/Disability,3,25,Communication skills;Responsibility and Carefulness;Loving and caring nature,30tr - 50tr
tyler6089,>60,Female,Retirement,3,3,Patience;Responsibility and Carefulness;Loving and caring nature,10tr - 30tr
kathy8830,>60,Male,Retirement,4,4,Patience;Responsibility and Carefulness,10tr - 30tr
manuel1019,>60,Male,Retirement,0,33,Communication skills;Patience;Responsibility and Carefulness,> 50tr
kristin4891,<25,Male,Starting a Career,4,22,Responsibility and Carefulness;Communication skills;Loving and caring nature,< 10tr
austin9319,<25,Male,Starting a Career,5,12,Responsibility and Carefulness;Communication skills;Loving and caring nature,> 50tr
jennifer7281,>60,Female,Retirement,4,47,Loving and caring nature;Responsibility and Carefulness;Patience,30tr - 50tr
joseph6308,<25,Female,Starting a Career,3,24,Patience;Communication skills,30tr - 50tr
alicia4325,<25,Male,Losing a Job,3,29,Loving and caring nature;Communication skills;Responsibility and Carefulness,> 50tr
douglas5049,50-60,Male,Starting a Career,4,30,Loving and caring nature;Patience,10tr - 30tr
